name,gender,nom_category,year
Gillo Pontecorvo,male,"Writing, Original Screenplay",1969
Pedro Almodóvar,male,"Writing, Original Screenplay",2003
John Boorman,male,"Writing, Original Screenplay",1988
James L. Brooks,male,"Writing, Original Screenplay",1988
James L. Brooks,male,"Writing, Original Screenplay",1998
Dennis Hopper,male,"Writing, Original Screenplay",1970
Richard Schweizer,male,"Writing, Original Screenplay",1946
Marguerite Duras,female,"Writing, Original Screenplay",1961
Jorge Semprún,male,"Writing, Original Screenplay",1968
Furio Scarpelli,male,"Writing, Original Screenplay",1966
Furio Scarpelli,male,"Writing, Original Screenplay",1965
Paddy Chayefsky,male,"Writing, Original Screenplay",1959
Paddy Chayefsky,male,"Writing, Original Screenplay",1972
Paddy Chayefsky,male,"Writing, Original Screenplay",1977
Jane Campion,female,"Writing, Original Screenplay",1994
Diablo Cody,female,"Writing, Original Screenplay",2008
Roman Coppola,male,"Writing, Original Screenplay",2013
Ben Hecht,male,"Writing, Original Screenplay",1941
Ben Hecht,male,"Writing, Original Screenplay",1947
Paul Hogan,male,"Writing, Original Screenplay",1987
Erich Segal,male,"Writing, Original Screenplay",1971
Abraham Polonsky,male,"Writing, Original Screenplay",1948
Denys Arcand,male,"Writing, Original Screenplay",2004
Agenore Incrocci,male,"Writing, Original Screenplay",1966
Agenore Incrocci,male,"Writing, Original Screenplay",1965
Todd Haynes,male,"Writing, Original Screenplay",2003
Roger Avary,male,"Writing, Original Screenplay",1995
Suzanne Schiffman,female,"Writing, Original Screenplay",1975
Noah Baumbach,male,"Writing, Original Screenplay",2006
Ken Annakin,male,"Writing, Original Screenplay",1966
Trevor Griffiths,male,"Writing, Original Screenplay",1982
Aída Bortnik,female,"Writing, Original Screenplay",1986
Preston Sturges,male,"Writing, Original Screenplay",1941
Preston Sturges,male,"Writing, Original Screenplay",1945
Preston Sturges,male,"Writing, Original Screenplay",1945
Jean-Claude Carrière,male,"Writing, Original Screenplay",1973
Daniel Boulanger,male,"Writing, Original Screenplay",1965
Albert Lamorisse,male,"Writing, Original Screenplay",1957
Oren Moverman,male,"Writing, Original Screenplay",2010
Dan Gilroy,male,"Writing, Original Screenplay",2015
Norman Lear,male,"Writing, Original Screenplay",1968
Ernest Lehman,male,"Writing, Original Screenplay",1960
Frank Butler,male,"Writing, Original Screenplay",1943
Frank Butler,male,"Writing, Original Screenplay",1943
Jack Rose,male,"Writing, Original Screenplay",1959
Jack Rose,male,"Writing, Original Screenplay",1956
Jack Rose,male,"Writing, Original Screenplay",1974
Ronald Bass,male,"Writing, Original Screenplay",1989
Ron Shelton,male,"Writing, Original Screenplay",1989
Russell Rouse,male,"Writing, Original Screenplay",1960
Russell Rouse,male,"Writing, Original Screenplay",1952
Stuart Blumberg,male,"Writing, Original Screenplay",2011
T. S. Cook,male,"Writing, Original Screenplay",1980
Allan Scott,male,"Writing, Original Screenplay",1944
Ken Shadie,male,"Writing, Original Screenplay",1987
Anna Thomas,female,"Writing, Original Screenplay",1985
Alan Wenkus,male,"Writing, Original Screenplay",2016
Sidney Meyers,male,"Writing, Original Screenplay",1950
Clint Johnston,male,"Writing, Original Screenplay",1967
Nate Monaster,male,"Writing, Original Screenplay",1963
Richard Gregson,male,"Writing, Original Screenplay",1961
Paul King,male,"Writing, Original Screenplay",1960
Terence McCloy,male,"Writing, Original Screenplay",1973
Milo Addica,male,"Writing, Original Screenplay",2002
Jonathan Herman,male,"Writing, Original Screenplay",2016
Helen Levitt,female,"Writing, Original Screenplay",1950
Jacques Demy,male,"Writing, Original Screenplay",1966
Charlie Kaufman,male,"Writing, Original Screenplay",2000
Charlie Kaufman,male,"Writing, Original Screenplay",2005
Mike Leigh,male,"Writing, Original Screenplay",2011
Mike Leigh,male,"Writing, Original Screenplay",2009
Mike Leigh,male,"Writing, Original Screenplay",2000
Mike Leigh,male,"Writing, Original Screenplay",2005
Mike Leigh,male,"Writing, Original Screenplay",1997
Abem Finkel,male,"Writing, Original Screenplay",1942
Indro Montanelli,male,"Writing, Original Screenplay",1962
Oscar Brodney,male,"Writing, Original Screenplay",1955
Michael Kanin,male,"Writing, Original Screenplay",1959
Michael Kanin,male,"Writing, Original Screenplay",1943
Valentine Davies,male,"Writing, Original Screenplay",1955
Philippe de Broca,male,"Writing, Original Screenplay",1965
Joan Harrison,female,"Writing, Original Screenplay",1941
John Logan,male,"Writing, Original Screenplay",2005
John Logan,male,"Writing, Original Screenplay",2001
Sonya Levien,female,"Writing, Original Screenplay",1956
Alun Owen,male,"Writing, Original Screenplay",1965
Cesare Zavattini,male,"Writing, Original Screenplay",1948
James R. Webb,male,"Writing, Original Screenplay",1964
Tom McCarthy,male,"Writing, Original Screenplay",2010
Tom McCarthy,male,"Writing, Original Screenplay",2016
Alex Garland,male,"Writing, Original Screenplay",2016
Budd Schulberg,male,"Writing, Original Screenplay",1955
Valerie Curtin,female,"Writing, Original Screenplay",1980
Michael Arndt,male,"Writing, Original Screenplay",2007
Bo Goldman,male,"Writing, Original Screenplay",1981
Bob Gale,male,"Writing, Original Screenplay",1986
Bryan Forbes,male,"Writing, Original Screenplay",1961
James Bridges,male,"Writing, Original Screenplay",1980
